Date,Portfolio Value,Total Return,Volatility,Sharpe Ratio,Max Drawdown
2024-01-01,100000.0,0.0,0.0,0,0.0
2024-01-02,100000.0,0.0,0.0,0,0.0
2024-01-03,100000.0,0.0,0.0,0,0.0
2024-01-04,100000.0,0.0,0.0,0,0.0
2024-01-05,100000.0,0.0,0.0,0,0.0
2024-01-08,100000.0,0.0,0.0,0,0.0
2024-01-09,100000.0,0.0,0.0,0,0.0
2024-01-10,100000.0,0.0,0.0,0,0.0
2024-01-11,100000.0,0.0,0.0,0,0.0
2024-01-12,100000.0,0.0,0.0,0,0.0
2024-01-15,100000.0,0.0,0.0,0,0.0
2024-01-16,100000.0,0.0,0.0,0,0.0
2024-01-17,100000.0,0.0,0.0,0,0.0
2024-01-18,100000.0,0.0,0.0,0,0.0
2024-01-19,100000.0,0.0,0.0,0,0.0
2024-01-22,100000.0,0.0,0.0,0,0.0
2024-01-23,100000.0,0.0,0.0,0,0.0
2024-01-24,100000.0,0.0,0.0,0,0.0
2024-01-25,100000.0,0.0,0.0,0,0.0
2024-01-26,100000.0,0.0,0.0,0,0.0
2024-01-29,100000.0,0.0,0.0,0,0.0
2024-01-30,100000.0,0.0,0.0,0,0.0
2024-01-31,100000.0,0.0,0.0,0,0.0
2024-02-01,100000.0,0.0,0.0,0,0.0
2024-02-02,100000.0,0.0,0.0,0,0.0
2024-02-05,100000.0,0.0,0.0,0,0.0
2024-02-06,100000.0,0.0,0.0,0,0.0
2024-02-07,100000.0,0.0,0.0,0,0.0
2024-02-08,100000.0,0.0,0.0,0,0.0
2024-02-09,100000.0,0.0,0.0,0,0.0
2024-02-12,100000.0,0.0,0.0,0,0.0
2024-02-13,100000.0,0.0,0.0,0,0.0
2024-02-14,100000.0,0.0,0.0,0,0.0
2024-02-15,100000.0,0.0,0.0,0,0.0
2024-02-16,100000.0,0.0,0.0,0,0.0
2024-02-19,100000.0,0.0,0.0,0,0.0
2024-02-20,100000.0,0.0,0.0,0,0.0
2024-02-21,100000.0,0.0,0.0,0,0.0
2024-02-22,100000.0,0.0,0.0,0,0.0
2024-02-23,100000.0,0.0,0.0,0,0.0
2024-02-26,100000.0,0.0,0.0,0,0.0
2024-02-27,100000.0,0.0,0.0,0,0.0
2024-02-28,100000.0,0.0,0.0,0,0.0
2024-02-29,100000.0,0.0,0.0,0,0.0
2024-03-01,100000.0,0.0,0.0,0,0.0
2024-03-04,100000.0,0.0,0.0,0,0.0
2024-03-05,100000.0,0.0,0.0,0,0.0
2024-03-06,100000.0,0.0,0.0,0,0.0
2024-03-07,100000.0,0.0,0.0,0,0.0
2024-03-08,100000.0,0.0,0.0,0,0.0
